"favorite_count","retweet_count","hashtags_cant","media_url_cant","mentions_cant","reply_to_status","followers_count","friends_count","statuses_count","favourites_count","account_lang","source","popular"
0,0,0,0,0,0,1204,1048,107106,210,"es","GacetaUcayalina","no"
47,44,2,1,0,0,2782671,377,237280,876,"en","SocialFlow","si"
47,44,2,1,0,0,2782671,377,237280,876,"en","SocialFlow","si"
24,27,2,1,0,0,2782671,377,237280,876,"en","SocialFlow","si"
24,27,2,1,0,0,2782671,377,237280,876,"en","SocialFlow","si"
1,0,0,0,0,0,1594,1085,16506,5219,"es","Twitter for Android","no"
0,0,0,0,0,0,853,2093,21460,6398,"es","Twitter for Android","no"
0,0,0,0,0,0,1697,1477,118852,8486,"es","Twitter Web Client","no"
0,0,1,0,0,0,191727,38067,932131,3729,"es","Twitter Web Client","si"
0,0,1,0,0,0,191727,38067,932131,3729,"es","Twitter Web Client","si"
0,0,0,0,0,0,191727,38067,932131,3729,"es","Twitter Web Client","si"
0,0,0,0,0,0,191727,38067,932131,3729,"es","Twitter Web Client","si"
0,0,0,0,0,0,508,354,60115,7623,"es","Twitter for Android","no"
2,0,0,0,0,0,2736,734,36700,87712,"es","Twitter Web Client","no"
0,0,0,0,0,0,380,329,24764,18543,"es","Twitter for Windows Phone","no"
0,0,0,0,0,0,502,498,19557,1842,"es","Twitter for iPhone","no"
0,0,0,0,0,0,1357,847,48909,11671,"es","Twitter for Android","no"
1,0,0,0,0,0,7151,4846,123766,32898,"es","Twitter for Android","no"
0,0,0,0,0,0,780,448,21362,5267,"es","Twitter for Android","no"
0,0,0,0,0,0,73,155,710,1860,"es","Twitter for Android","no"
0,0,0,0,0,0,186,236,7966,2950,"es","Twitter for Android","no"
0,0,0,0,0,0,2517,2309,118802,1542,"es","Twitter Web Client","no"
1,0,0,0,0,0,2142,1193,18241,6238,"es","TweetDeck","no"
1,0,0,0,0,0,1343,1102,51835,18938,"es","Twitter for Android","no"
0,0,1,0,0,0,273134,43218,965881,43159,"es","Twitter Web Client","si"
0,0,0,0,0,0,832,768,21027,4387,"es","Twitter for Android","no"
0,0,1,0,1,0,37,401,110,52,"es","Google","no"
0,0,0,0,0,0,254,69,3556,1684,"es","Twitter for Android","no"
0,0,0,0,0,0,2575,902,76059,4748,"es","Twitter for Android","no"
0,0,0,0,0,0,644,634,19051,2064,"es","Twitter for Android","no"
0,0,1,0,0,0,814,298,41076,295,"es","Twitter for iPhone","no"
0,0,0,0,0,0,8,55,110,92,"es","Twitter for Android","no"
0,0,0,0,0,0,246,298,19402,2516,"es","Twitter for Android","no"
1,0,0,0,0,0,384,740,4901,3114,"es","Twitter for Android","no"
1,0,0,0,1,1,2374,441,97907,8792,"es","Twitter Web Client","no"
0,0,2,0,0,0,618,780,2565,1930,"es","Twitter for Android","no"
0,0,0,0,0,0,533967,39995,953013,3853,"es","Twitter Web Client","si"
1,0,0,0,1,1,122,11,488,7,"es","Twitter Web Client","no"
0,0,0,0,0,0,2574,412,32777,15499,"es","Twitter for Android","no"
1,0,0,0,1,0,4107,517,72198,11615,"es","Twitter for Android","no"
0,0,0,0,0,0,583,459,14101,1324,"es","Twitter for Android","no"
1,0,0,0,2,1,958,818,44880,43085,"es","Twitter Web Client","no"
0,0,0,0,0,0,111474,41559,991069,2886,"es","Twitter Web Client","si"
0,0,0,0,0,0,567,412,16243,6368,"es","Twitter for Android","no"
1,2,8,0,0,0,118880,1302,94785,3745,"es","Twitter Web Client","no"
0,0,0,0,0,0,793,560,6872,4557,"es","Twitter for Android","no"
29,14,0,1,0,0,14322,5255,91060,34537,"es","Twitter for iPhone","no"
1,0,0,0,0,0,338,506,38468,2111,"es","Twitter for Android","no"
0,0,0,0,0,0,521,325,22859,8149,"es","Twitter for Android","no"
0,0,0,0,0,0,970,898,20701,13962,"es","Twitter for Android","no"
0,0,0,0,0,0,43,50,4660,0,"es","WordPress.com","no"
0,0,0,0,0,0,1042,673,53026,21731,"es","Twitter Lite","no"
3,0,0,1,0,0,565,189,16302,24043,"es","Twitter for iPhone","no"
0,0,0,0,0,0,257,435,4683,381,"es","Twitter for Android","no"
0,0,0,0,0,0,1264,1131,14939,1024,"es","Twitter for iPhone","no"
0,0,0,0,1,0,7086,141,127576,25,"es","Gremlin Social","no"
0,0,0,0,0,0,654,465,25974,4434,"es","Twitter for iPhone","no"
1,0,0,0,1,1,79,236,854,2861,"es","Twitter for Android","no"
0,0,0,0,0,0,177,363,6184,1916,"es","Twitter for Android","no"
0,0,0,0,1,1,83,109,717,164,"es","Twitter Web Client","no"
0,0,0,0,0,0,792,538,12577,4745,"es","Twitter for Android","no"
0,0,0,0,0,0,338,1044,18890,45905,"es","Twitter for Android","no"
0,0,0,0,0,0,1219,1274,17195,21916,"es","Twitter for Android","no"
0,0,0,0,0,0,1219,1274,17195,21916,"es","Twitter for Android","no"
1,0,0,0,0,0,1219,1274,17195,21916,"es","Twitter for Android","no"
1,0,0,0,0,0,1219,1274,17195,21916,"es","Twitter for Android","no"
0,0,0,0,0,0,137,222,15296,14127,"en","Twitter Web Client","no"
0,0,0,0,0,0,942,592,35894,6762,"es","Twitter for Android","no"
0,0,0,0,0,0,479,406,16081,1393,"es","Twitter for Android","no"
28,20,1,1,0,0,348937,60,24014,20,"es","Hootsuite","no"
0,0,0,0,0,0,680,233,10167,368,"es","Twitter for Android","no"
1,0,0,0,0,0,833,1613,5510,7930,"es","Twitter for iPhone","no"
0,1,0,0,0,0,9941,2982,27633,207,"es","Twitter Web Client","no"
0,0,0,0,0,0,187,208,11397,103,"en","Twitter Web Client","no"
0,0,0,0,0,0,974,520,10609,1152,"es","Twitter for Android","no"
0,0,0,0,0,0,1458,1090,11740,7309,"es","Twitter for Android","no"
0,0,0,0,0,0,370,162,11489,7012,"es","Twitter for Android","no"
0,0,0,0,0,0,818,95,22253,17170,"es","Twitter for iPhone","no"
1,0,0,0,0,0,7508,5711,239695,18369,"es","Twitter Web Client","no"
0,0,1,0,0,0,117179,37438,924776,3111,"es","Twitter Web Client","si"
0,0,1,0,0,0,117179,37438,924776,3111,"es","Twitter Web Client","si"
0,0,0,0,0,0,117179,37438,924776,3111,"es","Twitter Web Client","si"
0,0,0,0,0,0,117179,37438,924776,3111,"es","Twitter Web Client","si"
1,0,0,0,0,0,850,365,49667,37623,"es","Twitter for Android","no"
2,0,0,0,0,0,440,304,16700,2918,"es","Twitter for Android","no"
1,0,0,0,0,0,1893,2478,5885,117,"es","Facebook","no"
1,0,0,0,0,0,936,286,58143,38071,"es","Twitter for Android","no"
0,0,0,0,0,0,261,184,10910,318,"es","Twitter for Android","no"
0,0,0,0,0,0,1240,965,62088,8102,"es","Twitter for Android","no"
1,0,0,0,0,0,997,686,16675,2524,"es","Twitter Lite","no"
