"is_quote","favorite_count","retweet_count","hashtags_cant","urls_url_cant","media_url_cant","mentions_cant","reply_to_user","reply_to_status","followers_count","friends_count","listed_count","statuses_count","favourites_count","verified","account_lang","source","text","popular"
0,0,0,0,1,0,0,0,0,1204,1048,28,107106,210,0,"es","GacetaUcayalina","Temen más muertes por gripe AH1N1 en la región Lambayeque https://t.co/9Jj6gUieJQ","no"
0,47,44,2,1,1,0,0,0,2782671,377,19056,237280,876,1,"en","SocialFlow","La historia del niño que sobrevivió a la gripe española de 1918 y hoy tiene 103 años https://t.co/Tr4fyk6dmh #historia #salud https://t.co/eLy2kmKJuO","si"
0,47,44,2,1,1,0,0,0,2782671,377,19056,237280,876,1,"en","SocialFlow","La historia del niño que sobrevivió a la gripe española de 1918 y hoy tiene 103 años https://t.co/Tr4fyk6dmh #historia #salud https://t.co/eLy2kmKJuO","si"
0,24,27,2,1,1,0,0,0,2782671,377,19056,237280,876,1,"en","SocialFlow","FS Por qué la gripe española, la peor pandemia del siglo XX, no era en realidad tan española  https://t.co/Uyn7s203JA #historia #salud https://t.co/dSZtlwuKgA","si"
0,24,27,2,1,1,0,0,0,2782671,377,19056,237280,876,1,"en","SocialFlow","FS Por qué la gripe española, la peor pandemia del siglo XX, no era en realidad tan española  https://t.co/Uyn7s203JA #historia #salud https://t.co/dSZtlwuKgA","si"
0,1,0,0,0,0,0,0,0,1594,1085,3,16506,5219,0,"es","Twitter for Android","La humedad y la gripe no me sientan bien","no"
0,0,0,0,0,0,0,0,0,853,2093,0,21460,6398,0,"es","Twitter for Android","La gripe que tengo lpm <f0><U+009F><U+00A4><U+00A7><f0><U+009F><U+0098><U+00B7>","no"
0,0,0,0,0,0,0,0,0,1697,1477,10,118852,8486,0,"es","Twitter Web Client","Venir a trabajar con malestar de la gripe es lo peor de la vida","no"
0,0,0,1,1,0,0,0,0,191727,38067,1158,932131,3729,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> ¿Una pastilla que cura la gripe en 24 horas? Japoneses aseguran tenerla lista #Medicina https://t.co/S4AF7T1zl8","no"
0,0,0,1,1,0,0,0,0,191727,38067,1158,932131,3729,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> ¿Una pastilla que cura la gripe en 24 horas? Japoneses aseguran tenerla lista #Medicina https://t.co/S4AF7T1zl8","no"
0,0,0,0,1,0,0,0,0,191727,38067,1158,932131,3729,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> ¿Una pastilla que cura la gripe en 24 horas? Japoneses aseguran tenerla lista https://t.co/S4AF7T1zl8","no"
0,0,0,0,1,0,0,0,0,191727,38067,1158,932131,3729,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> ¿Una pastilla que cura la gripe en 24 horas? Japoneses aseguran tenerla lista https://t.co/S4AF7T1zl8","no"
0,0,0,0,0,0,0,0,0,508,354,1,60115,7623,0,"es","Twitter for Android","Me estoy re empastillando para curarme la gripe,estoy girando de placer jajajja","no"
0,2,0,0,0,0,0,0,0,2736,734,86,36700,87712,0,"es","Twitter Web Client","No es el insomnio. Es esta maldita gripe que no me deja dormir. <f0><U+009F><U+00A4><U+00A7>","no"
0,0,0,0,0,0,0,0,0,380,329,4,24764,18543,0,"es","Twitter for Windows Phone","Recién despierta y con gripe en la calle doy miedo","no"
0,0,0,0,0,0,0,0,0,502,498,2,19557,1842,0,"es","Twitter for iPhone","Bad luck Andrea: a días de dar a luz, Luciana se enferma de gripe.","no"
0,0,0,0,0,0,0,0,0,1357,847,8,48909,11671,0,"es","Twitter for Android","Gripe de mierda. <f0><U+009F><U+0098><U+00B7><f0><U+009F><U+0098><U+00B7><f0><U+009F><U+0098><U+0096>","no"
0,1,0,0,0,0,0,0,0,7151,4846,29,123766,32898,0,"es","Twitter for Android","No sé si es frio o me dio gripe...","no"
0,0,0,0,0,0,0,0,0,780,448,0,21362,5267,0,"es","Twitter for Android","Que mal me siento, gripe de mierda","no"
0,0,0,0,0,0,0,0,0,73,155,0,710,1860,0,"es","Twitter for Android","Gripe me estas matando","no"
0,0,0,0,0,0,0,0,0,186,236,1,7966,2950,0,"es","Twitter for Android","Sólo tengo una pequeña gripe y me está cuidando más de lo normal<f0><U+009F><U+0098><U+008D> esto me encanta<U+2764>","no"
1,0,0,0,1,0,0,0,0,2517,2309,26,118802,1542,0,"es","Twitter Web Client","Muriendo con la gripe... https://t.co/Y25gqUckFw","no"
0,1,0,0,0,0,0,0,0,2142,1193,62,18241,6238,0,"es","TweetDeck","Tengo la voz hecha mierda por la gripe y el cigarro.","no"
0,1,0,0,0,0,0,0,0,1343,1102,2,51835,18938,0,"es","Twitter for Android","La gripe q tengo encima diosssss","no"
0,0,0,1,1,0,0,0,0,273134,43218,629,965881,43159,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> Gripe y resfriado, similares pero no idénticas #Salud https://t.co/4jG6R5Wt5u","no"
0,0,0,0,0,0,0,0,0,832,768,1,21027,4387,0,"es","Twitter for Android","Levantarme con gripe... Después dicen que el cuerpo no somatiza!!!","no"
0,0,0,1,1,0,1,0,0,37,401,0,110,52,0,"es","Google","Me gustó un video de @YouTube https://t.co/55Jf8LVtVq #EnVivo Campaña y protocolo de Gripe A","no"
0,0,0,0,0,0,0,0,0,254,69,0,3556,1684,0,"es","Twitter for Android","No sé que me estresa mas si entrar a finales o la puta gripe que se empieza apoderar de mí.<f0><U+009F><U+0098><U+00A0><f0><U+009F><U+0098><U+00A2>","no"
0,0,0,0,0,0,0,0,0,2575,902,47,76059,4748,0,"es","Twitter for Android","Estúpida gripe que me tiene el pecho apretado.","no"
0,0,0,0,0,0,0,0,0,644,634,0,19051,2064,0,"es","Twitter for Android","No puedo ni respirar, gripe de mierda","no"
0,0,0,1,0,0,0,0,0,814,298,2,41076,295,0,"es","Twitter for iPhone","Tenía que pegarme gripe en este momento <f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00A9><f0><U+009F><U+0098><U+00B7> #sucks","no"
0,0,0,0,0,0,0,0,0,8,55,0,110,92,0,"es","Twitter for Android","¿Hace calor o solo es la calentura que traigo? y no es por gripe eso fue la semana pasada.","no"
0,0,0,0,0,0,0,0,0,246,298,1,19402,2516,0,"es","Twitter for Android","Tengo una gripe terrible pero me voy a pescar igual","no"
0,1,0,0,0,0,0,0,0,384,740,0,4901,3114,0,"es","Twitter for Android","Jamás me habían cuidado tanto de una gripe como lo hizo el anoche.","no"
0,1,0,0,0,0,1,1,1,2374,441,22,97907,8792,0,"es","Twitter Web Client","@joros83 En el Supermaxi, en el área de legumbres, venden unas bebidas pequeñas que son de naranja, jengibre y limón. puedes tomarte varias al día según el estado de tu gripe, verás como mejoras... y ya que estás en esas, compra frutos secos mmv","no"
0,0,0,2,0,0,0,0,0,618,780,0,2565,1930,0,"es","Twitter for Android","Yendo a trabajar con mas gripe que persona.. Pero me javo un tiempo para dejarles votos a mis bebes #PremiosMTVMiaw  #MTVLAKPOPBTS","no"
0,0,0,0,1,0,0,0,0,533967,39995,1357,953013,3853,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> La gripe española: 100 años de la pandemia más devastadora de la historia humana https://t.co/EcXFXznQmy","no"
0,1,0,0,0,0,1,1,1,122,11,1,488,7,0,"es","Twitter Web Client","@hmercere tremenda gripe también. Buena jornada Hernán...","no"
0,0,0,0,0,0,0,0,0,2574,412,12,32777,15499,0,"es","Twitter for Android","Inicio la semana con gripe y a punto de quedarme sin voz, pero espero sea una buena semana <f0><U+009F><U+0091><U+008D>","no"
0,1,0,0,0,0,1,0,0,4107,517,49,72198,11615,0,"es","Twitter for Android","""La gripe es el llanto del alma"" vaya frase @adribertorelli <U+2764>","no"
0,0,0,0,0,0,0,0,0,583,459,1,14101,1324,0,"es","Twitter for Android","Estoy al borde de una tremenda gripe","no"
0,1,0,0,0,0,2,1,1,958,818,46,44880,43085,0,"es","Twitter Web Client","@alexiel3326 @fibromialgianot Igual que cuando tienes gripe","no"
0,0,0,0,1,0,0,0,0,111474,41559,539,991069,2886,0,"es","Twitter Web Client","<f0><U+009F><U+0094><U+00B9> La gripe española: 100 años de la pandemia más devastadora de la historia humana https://t.co/jjQI3hw0cB","no"
0,0,0,0,0,0,0,0,0,567,412,3,16243,6368,0,"es","Twitter for Android","Me siento muy mal, no tengo gripe ni fiebre, sólo estoy afonica pero me duele mucho la garganta","no"
0,1,2,8,1,0,0,0,0,118880,1302,923,94785,3745,1,"es","Twitter Web Client","Vacunarse de la #gripe previene #infartos e #ictus https://t.co/5mWgHinB9m #salud #Sanidad #enfermedades #vacunas #vacunación","si"
0,0,0,0,0,0,0,0,0,793,560,0,6872,4557,0,"es","Twitter for Android","Gripe de mierda <f0><U+009F><U+0098><U+00A2>","no"
0,29,14,0,0,1,0,0,0,14322,5255,396,91060,34537,1,"es","Twitter for iPhone","La mayoría de la gente no tiene idea cómo se transmiten las enfermedades. Menos sabe que hay que abrir ventanas de colectivos y vagones de tren para evitar gripe. VENTILE. https://t.co/9wZetNTJuN","si"
0,1,0,0,0,0,0,0,0,338,506,5,38468,2111,0,"es","Twitter for Android","Xq tengo esta gripe si soy buen samaritano (?","no"
0,0,0,0,0,0,0,0,0,521,325,4,22859,8149,0,"es","Twitter for Android","No me dan ni ganas de levantarme de la gripe que tengo, que mala noche que pase por dios<f0><U+009F><U+0098><U+00A3><f0><U+009F><U+0098><U+0094>","no"
0,0,0,0,0,0,0,0,0,970,898,3,20701,13962,0,"es","Twitter for Android","Realmente no hice nada y me levanté con tremenda gripe <f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00AD>","no"
0,0,0,0,1,0,0,0,0,43,50,1,4660,0,0,"es","WordPress.com","Gripe: recomendaciones para prevenirla https://t.co/mGBhxIv5ho","no"
0,0,0,0,0,0,0,0,0,1042,673,4,53026,21731,0,"es","Twitter Lite","Me duele estar parada... Esa gripe si se siente<f0><U+009F><U+0098><U+00AD>","no"
0,3,0,0,0,1,0,0,0,565,189,9,16302,24043,0,"es","Twitter for iPhone","tengo gripe pero estoy de buen humor así que va a ser un buen día :) https://t.co/IR6TG2XPwR","no"
0,0,0,0,0,0,0,0,0,257,435,0,4683,381,0,"es","Twitter for Android","Creo que la gripe <f0><U+009F><U+00A4><U+00A7> se enamoro de mí, no me quiere dejar por nada la maldita!.","no"
0,0,0,0,0,0,0,0,0,1264,1131,0,14939,1024,0,"es","Twitter for iPhone","Empecé la semana con <f0><U+009F><U+00A4><U+0092> gripe <f0><U+009F><U+00A4><U+00A7>","no"
